key_pair,engram_key_preference
;K,0.64
;L,0.528
;M,0.489
;N,0.205
;O,0.44099999999999995
;P,0.27349999999999997
;Q,0.27349999999999997
;R,0.489
;S,0.528
;T,0.205
;U,0.489
;V,0.489
;W,0.44099999999999995
;X,0.27349999999999997
;Y,0.205
;Z,0.27349999999999997
;[,0.205
A',0.205
"A,",0.41
A.,0.27349999999999997
A/,0.27349999999999997
A;,0.41
AA,0.41
AB,0.205
AC,0.41
AD,0.64
AE,0.528
AF,0.705
AG,0.205
AH,0.205
AI,0.528
AJ,0.705
AK,0.64
AL,0.528
AM,0.489
AN,0.205
AO,0.44099999999999995
AP,0.27349999999999997
AQ,0.27349999999999997
AR,0.489
AS,0.528
AT,0.205
AU,0.489
AV,0.489
AW,0.44099999999999995
AX,0.27349999999999997
AY,0.205
AZ,0.27349999999999997
A[,0.205
B',0.0
"B,",0.205
B.,0.0685
B/,0.0685
B;,0.205
BA,0.205
BB,0.0
BC,0.205
BD,0.435
BE,0.323
BF,0.5
BG,0.0
BH,0.0
BI,0.323
BJ,0.5
BK,0.435
BL,0.323
BM,0.284
BN,0.0
BO,0.236
BP,0.0685
BQ,0.0685
BR,0.284
BS,0.323
BT,0.0
BU,0.284
BV,0.284
BW,0.236
BX,0.0685
BY,0.0
BZ,0.0685
B[,0.0
C',0.205
"C,",0.41
C.,0.27349999999999997
C/,0.27349999999999997
C;,0.41
CA,0.41
CB,0.205
CC,0.41
CD,0.64
CE,0.528
CF,0.705
CG,0.205
CH,0.205
CI,0.528
CJ,0.705
CK,0.64
CL,0.528
CM,0.489
CN,0.205
CO,0.44099999999999995
CP,0.27349999999999997
CQ,0.27349999999999997
CR,0.489
CS,0.528
CT,0.205
CU,0.489
CV,0.489
CW,0.44099999999999995
CX,0.27349999999999997
CY,0.205
CZ,0.27349999999999997
C[,0.205
D',0.435
"D,",0.64
D.,0.5035000000000001
D/,0.5035000000000001
D;,0.64
DA,0.64
DB,0.435
DC,0.64
DD,0.87
DE,0.758
DF,0.935
DG,0.435
DH,0.435
DI,0.758
DJ,0.935
DK,0.87
DL,0.758
DM,0.719
DN,0.435
DO,0.671
DP,0.5035000000000001
DQ,0.5035000000000001
DR,0.719
DS,0.758
DT,0.435
DU,0.719
DV,0.719
DW,0.671
DX,0.5035000000000001
DY,0.435
DZ,0.5035000000000001
D[,0.435
E',0.323
"E,",0.528
E.,0.3915
E/,0.3915
E;,0.528
EA,0.528
EB,0.323
EC,0.528
ED,0.758
EE,0.646
EF,0.823
EG,0.323
EH,0.323
EI,0.646
EJ,0.823
EK,0.758
EL,0.646
EM,0.607
EN,0.323
EO,0.5589999999999999
EP,0.3915
EQ,0.3915
ER,0.607
ES,0.646
ET,0.323
EU,0.607
EV,0.607
EW,0.5589999999999999
EX,0.3915
EY,0.323
EZ,0.3915
E[,0.323
F',0.5
"F,",0.705
F.,0.5685
F/,0.5685
F;,0.705
FA,0.705
FB,0.5
FC,0.705
FD,0.935
FE,0.823
FF,1.0
FG,0.5
FH,0.5
FI,0.823
FJ,1.0
FK,0.935
FL,0.823
FM,0.784
FN,0.5
FO,0.736
FP,0.5685
FQ,0.5685
FR,0.784
FS,0.823
FT,0.5
FU,0.784
FV,0.784
FW,0.736
FX,0.5685
FY,0.5
FZ,0.5685
F[,0.5
G',0.0
"G,",0.205
G.,0.0685
G/,0.0685
G;,0.205
GA,0.205
GB,0.0
GC,0.205
GD,0.435
GE,0.323
GF,0.5
GG,0.0
GH,0.0
GI,0.323
GJ,0.5
GK,0.435
GL,0.323
GM,0.284
GN,0.0
GO,0.236
GP,0.0685
GQ,0.0685
GR,0.284
GS,0.323
GT,0.0
GU,0.284
GV,0.284
GW,0.236
GX,0.0685
GY,0.0
GZ,0.0685
G[,0.0
H',0.0
"H,",0.205
H.,0.0685
H/,0.0685
H;,0.205
HA,0.205
HB,0.0
HC,0.205
HD,0.435
HE,0.323
HF,0.5
HG,0.0
HH,0.0
HI,0.323
HJ,0.5
HK,0.435
HL,0.323
HM,0.284
HN,0.0
HO,0.236
HP,0.0685
HQ,0.0685
HR,0.284
HS,0.323
HT,0.0
HU,0.284
HV,0.284
HW,0.236
HX,0.0685
HY,0.0
HZ,0.0685
H[,0.0
I',0.323
"I,",0.528
I.,0.3915
I/,0.3915
I;,0.528
IA,0.528
IB,0.323
IC,0.528
ID,0.758
IE,0.646
IF,0.823
IG,0.323
IH,0.323
II,0.646
IJ,0.823
IK,0.758
IL,0.646
IM,0.607
IN,0.323
IO,0.5589999999999999
IP,0.3915
IQ,0.3915
IR,0.607
IS,0.646
IT,0.323
IU,0.607
IV,0.607
IW,0.5589999999999999
IX,0.3915
IY,0.323
IZ,0.3915
I[,0.323
J',0.5
"J,",0.705
J.,0.5685
J/,0.5685
J;,0.705
JA,0.705
JB,0.5
JC,0.705
JD,0.935
JE,0.823
JF,1.0
JG,0.5
JH,0.5
JI,0.823
JJ,1.0
JK,0.935
JL,0.823
JM,0.784
JN,0.5
JO,0.736
JP,0.5685
JQ,0.5685
JR,0.784
JS,0.823
JT,0.5
JU,0.784
JV,0.784
JW,0.736
JX,0.5685
JY,0.5
JZ,0.5685
J[,0.5
K',0.435
"K,",0.64
K.,0.5035000000000001
K/,0.5035000000000001
K;,0.64
KA,0.64
KB,0.435
KC,0.64
KD,0.87
KE,0.758
KF,0.935
KG,0.435
KH,0.435
KI,0.758
KJ,0.935
KK,0.87
KL,0.758
KM,0.719
KN,0.435
KO,0.671
KP,0.5035000000000001
KQ,0.5035000000000001
KR,0.719
KS,0.758
KT,0.435
KU,0.719
KV,0.719
KW,0.671
KX,0.5035000000000001
KY,0.435
KZ,0.5035000000000001
K[,0.435
L',0.323
"L,",0.528
L.,0.3915
L/,0.3915
L;,0.528
LA,0.528
LB,0.323
LC,0.528
LD,0.758
LE,0.646
LF,0.823
LG,0.323
LH,0.323
LI,0.646
LJ,0.823
LK,0.758
LL,0.646
LM,0.607
LN,0.323
LO,0.5589999999999999
LP,0.3915
LQ,0.3915
LR,0.607
LS,0.646
LT,0.323
LU,0.607
LV,0.607
LW,0.5589999999999999
LX,0.3915
LY,0.323
LZ,0.3915
L[,0.323
M',0.284
"M,",0.489
M.,0.3525
M/,0.3525
M;,0.489
MA,0.489
MB,0.284
MC,0.489
MD,0.719
ME,0.607
MF,0.784
MG,0.284
MH,0.284
MI,0.607
MJ,0.784
MK,0.719
ML,0.607
MM,0.568
MN,0.284
MO,0.52
MP,0.3525
MQ,0.3525
MR,0.568
MS,0.607
MT,0.284
MU,0.568
MV,0.568
MW,0.52
MX,0.3525
MY,0.284
MZ,0.3525
M[,0.284
N',0.0
"N,",0.205
N.,0.0685
N/,0.0685
N;,0.205
NA,0.205
NB,0.0
NC,0.205
ND,0.435
NE,0.323
NF,0.5
NG,0.0
NH,0.0
NI,0.323
NJ,0.5
NK,0.435
NL,0.323
NM,0.284
NN,0.0
NO,0.236
NP,0.0685
NQ,0.0685
NR,0.284
NS,0.323
NT,0.0
NU,0.284
NV,0.284
NW,0.236
NX,0.0685
NY,0.0
NZ,0.0685
N[,0.0
O',0.236
"O,",0.44099999999999995
O.,0.3045
O/,0.3045
O;,0.44099999999999995
OA,0.44099999999999995
OB,0.236
OC,0.44099999999999995
OD,0.671
OE,0.5589999999999999
OF,0.736
OG,0.236
OH,0.236
OI,0.5589999999999999
OJ,0.736
OK,0.671
OL,0.5589999999999999
OM,0.52
ON,0.236
OO,0.472
OP,0.3045
OQ,0.3045
OR,0.52
OS,0.5589999999999999
OT,0.236
OU,0.52
OV,0.52
OW,0.472
OX,0.3045
OY,0.236
OZ,0.3045
O[,0.236
P',0.0685
"P,",0.27349999999999997
P.,0.137
P/,0.137
P;,0.27349999999999997
PA,0.27349999999999997
PB,0.0685
PC,0.27349999999999997
PD,0.5035000000000001
PE,0.3915
PF,0.5685
PG,0.0685
PH,0.0685
PI,0.3915
PJ,0.5685
PK,0.5035000000000001
PL,0.3915
PM,0.3525
PN,0.0685
PO,0.3045
PP,0.137
PQ,0.137
PR,0.3525
PS,0.3915
PT,0.0685
PU,0.3525
PV,0.3525
PW,0.3045
PX,0.137
PY,0.0685
PZ,0.137
P[,0.0685
Q',0.0685
"Q,",0.27349999999999997
Q.,0.137
Q/,0.137
Q;,0.27349999999999997
QA,0.27349999999999997
QB,0.0685
QC,0.27349999999999997
QD,0.5035000000000001
QE,0.3915
QF,0.5685
QG,0.0685
QH,0.0685
QI,0.3915
QJ,0.5685
QK,0.5035000000000001
QL,0.3915
QM,0.3525
QN,0.0685
QO,0.3045
QP,0.137
QQ,0.137
QR,0.3525
QS,0.3915
QT,0.0685
QU,0.3525
QV,0.3525
QW,0.3045
QX,0.137
QY,0.0685
QZ,0.137
Q[,0.0685
R',0.284
"R,",0.489
R.,0.3525
R/,0.3525
R;,0.489
RA,0.489
RB,0.284
RC,0.489
RD,0.719
RE,0.607
RF,0.784
RG,0.284
RH,0.284
RI,0.607
RJ,0.784
RK,0.719
RL,0.607
RM,0.568
RN,0.284
RO,0.52
RP,0.3525
RQ,0.3525
RR,0.568
RS,0.607
RT,0.284
RU,0.568
RV,0.568
RW,0.52
RX,0.3525
RY,0.284
RZ,0.3525
R[,0.284
S',0.323
"S,",0.528
S.,0.3915
S/,0.3915
S;,0.528
SA,0.528
SB,0.323
SC,0.528
SD,0.758
SE,0.646
SF,0.823
SG,0.323
SH,0.323
SI,0.646
SJ,0.823
SK,0.758
SL,0.646
SM,0.607
SN,0.323
SO,0.5589999999999999
SP,0.3915
SQ,0.3915
SR,0.607
SS,0.646
ST,0.323
SU,0.607
SV,0.607
SW,0.5589999999999999
SX,0.3915
SY,0.323
SZ,0.3915
S[,0.323
T',0.0
"T,",0.205
T.,0.0685
T/,0.0685
T;,0.205
TA,0.205
TB,0.0
TC,0.205
TD,0.435
TE,0.323
TF,0.5
TG,0.0
TH,0.0
TI,0.323
TJ,0.5
TK,0.435
TL,0.323
TM,0.284
TN,0.0
TO,0.236
TP,0.0685
TQ,0.0685
TR,0.284
TS,0.323
TT,0.0
TU,0.284
TV,0.284
TW,0.236
TX,0.0685
TY,0.0
TZ,0.0685
T[,0.0
U',0.284
"U,",0.489
U.,0.3525
U/,0.3525
U;,0.489
UA,0.489
UB,0.284
UC,0.489
UD,0.719
UE,0.607
UF,0.784
UG,0.284
UH,0.284
UI,0.607
UJ,0.784
UK,0.719
UL,0.607
UM,0.568
UN,0.284
UO,0.52
UP,0.3525
UQ,0.3525
UR,0.568
US,0.607
UT,0.284
UU,0.568
UV,0.568
UW,0.52
UX,0.3525
UY,0.284
UZ,0.3525
U[,0.284
V',0.284
"V,",0.489
V.,0.3525
V/,0.3525
V;,0.489
VA,0.489
VB,0.284
VC,0.489
VD,0.719
VE,0.607
VF,0.784
VG,0.284
VH,0.284
VI,0.607
VJ,0.784
VK,0.719
VL,0.607
VM,0.568
VN,0.284
VO,0.52
VP,0.3525
VQ,0.3525
VR,0.568
VS,0.607
VT,0.284
VU,0.568
VV,0.568
VW,0.52
VX,0.3525
VY,0.284
VZ,0.3525
V[,0.284
W',0.236
"W,",0.44099999999999995
W.,0.3045
W/,0.3045
W;,0.44099999999999995
WA,0.44099999999999995
WB,0.236
WC,0.44099999999999995
WD,0.671
WE,0.5589999999999999
WF,0.736
WG,0.236
WH,0.236
WI,0.5589999999999999
WJ,0.736
WK,0.671
WL,0.5589999999999999
WM,0.52
WN,0.236
WO,0.472
WP,0.3045
WQ,0.3045
WR,0.52
WS,0.5589999999999999
WT,0.236
WU,0.52
WV,0.52
WW,0.472
WX,0.3045
WY,0.236
WZ,0.3045
W[,0.236
X',0.0685
"X,",0.27349999999999997
X.,0.137
X/,0.137
X;,0.27349999999999997
XA,0.27349999999999997
XB,0.0685
XC,0.27349999999999997
XD,0.5035000000000001
XE,0.3915
XF,0.5685
XG,0.0685
XH,0.0685
XI,0.3915
XJ,0.5685
XK,0.5035000000000001
XL,0.3915
XM,0.3525
XN,0.0685
XO,0.3045
XP,0.137
XQ,0.137
XR,0.3525
XS,0.3915
XT,0.0685
XU,0.3525
XV,0.3525
XW,0.3045
XX,0.137
XY,0.0685
XZ,0.137
X[,0.0685
Y',0.0
"Y,",0.205
Y.,0.0685
Y/,0.0685
Y;,0.205
YA,0.205
YB,0.0
YC,0.205
YD,0.435
YE,0.323
YF,0.5
YG,0.0
YH,0.0
YI,0.323
YJ,0.5
YK,0.435
YL,0.323
YM,0.284
YN,0.0
YO,0.236
YP,0.0685
YQ,0.0685
YR,0.284
YS,0.323
YT,0.0
YU,0.284
YV,0.284
YW,0.236
YX,0.0685
YY,0.0
YZ,0.0685
Y[,0.0
Z',0.0685
"Z,",0.27349999999999997
Z.,0.137
Z/,0.137
Z;,0.27349999999999997
ZA,0.27349999999999997
ZB,0.0685
ZC,0.27349999999999997
ZD,0.5035000000000001
ZE,0.3915
ZF,0.5685
ZG,0.0685
ZH,0.0685
ZI,0.3915
ZJ,0.5685
ZK,0.5035000000000001
ZL,0.3915
ZM,0.3525
ZN,0.0685
ZO,0.3045
ZP,0.137
ZQ,0.137
ZR,0.3525
ZS,0.3915
ZT,0.0685
ZU,0.3525
ZV,0.3525
ZW,0.3045
ZX,0.137
ZY,0.0685
ZZ,0.137
Z[,0.0685
[',0.0
"[,",0.205
[.,0.0685
[/,0.0685
[;,0.205
[A,0.205
[B,0.0
[C,0.205
[D,0.435
[E,0.323
[F,0.5
[G,0.0
[H,0.0
[I,0.323
[J,0.5
[K,0.435
[L,0.323
[M,0.284
[N,0.0
[O,0.236
[P,0.0685
[Q,0.0685
[R,0.284
[S,0.323
[T,0.0
[U,0.284
[V,0.284
[W,0.236
[X,0.0685
[Y,0.0
[Z,0.0685
[[,0.0
