key_pair,engram_keys
AW,0.44099999999999995
AX,0.27349999999999997
AY,0.205
AZ,0.27349999999999997
A[,0.205
B',0.0
"B,",0.0
B.,0.0
B/,0.0
B;,0.0
BA,0.205
BB,0.0
BC,0.205
BD,0.435
BE,0.323
BF,0.5
BG,0.0
BH,0.0
BI,0.0
BJ,0.0
BK,0.0
BL,0.0
BM,0.0
BN,0.0
BO,0.0
BP,0.0
BQ,0.0685
BR,0.284
BS,0.323
BT,0.0
BU,0.0
BV,0.284
BW,0.236
BX,0.0685
BY,0.0
BZ,0.0685
B[,0.0
C',0.205
"C,",0.205
C.,0.205
C/,0.205
C;,0.205
CA,0.41
CB,0.205
CC,0.41
CD,0.64
CE,0.528
CF,0.705
CG,0.205
CH,0.205
CI,0.205
CJ,0.205
CK,0.205
CL,0.205
CM,0.205
CN,0.205
CO,0.205
CP,0.205
CQ,0.27349999999999997
CR,0.489
CS,0.528
CT,0.205
CU,0.205
CV,0.489
CW,0.44099999999999995
CX,0.27349999999999997
CY,0.205
CZ,0.27349999999999997
C[,0.205
D',0.435
"D,",0.435
D.,0.435
D/,0.435
D;,0.435
DA,0.64
DB,0.435
DC,0.64
DD,0.87
DE,0.758
DF,0.935
DG,0.435
DH,0.435
DI,0.435
DJ,0.435
DK,0.435
DL,0.435
DM,0.435
DN,0.435
DO,0.435
DP,0.435
DQ,0.5035000000000001
DR,0.719
DS,0.758
DT,0.435
DU,0.435
DV,0.719
DW,0.671
DX,0.5035000000000001
DY,0.435
DZ,0.5035000000000001
D[,0.435
E',0.323
"E,",0.323
E.,0.323
E/,0.323
E;,0.323
EA,0.528
EB,0.323
EC,0.528
ED,0.758
EE,0.646
EF,0.823
EG,0.323
EH,0.323
EI,0.323
EJ,0.323
EK,0.323
EL,0.323
EM,0.323
EN,0.323
EO,0.323
EP,0.323
EQ,0.3915
ER,0.607
ES,0.646
ET,0.323
EU,0.323
EV,0.607
EW,0.5589999999999999
EX,0.3915
EY,0.323
EZ,0.3915
E[,0.323
F',0.5
"F,",0.5
F.,0.5
F/,0.5
F;,0.5
FA,0.705
FB,0.5
FC,0.705
FD,0.935
FE,0.823
FF,1.0
FG,0.5
FH,0.5
FI,0.5
FJ,0.5
FK,0.5
FL,0.5
FM,0.5
FN,0.5
FO,0.5
FP,0.5
FQ,0.5685
FR,0.784
FS,0.823
FT,0.5
FU,0.5
FV,0.784
FW,0.736
FX,0.5685
FY,0.5
FZ,0.5685
F[,0.5
G',0.0
"G,",0.0
G.,0.0
G/,0.0
G;,0.0
GA,0.205
GB,0.0
GC,0.205
GD,0.435
GE,0.323
GF,0.5
GG,0.0
GH,0.0
GI,0.0
GJ,0.0
GK,0.0
GL,0.0
GM,0.0
GN,0.0
GO,0.0
GP,0.0
GQ,0.0685
GR,0.284
GS,0.323
GT,0.0
GU,0.0
GV,0.284
GW,0.236
GX,0.0685
GY,0.0
GZ,0.0685
G[,0.0
H',0.0
"H,",0.0
H.,0.0
H/,0.0
H;,0.0
HA,0.205
HB,0.0
HC,0.205
HD,0.435
HE,0.323
HF,0.5
HG,0.0
HH,0.0
HI,0.0
HJ,0.0
HK,0.0
HL,0.0
HM,0.0
HN,0.0
HO,0.0
HP,0.0
HQ,0.0685
HR,0.284
HS,0.323
HT,0.0
HU,0.0
HV,0.284
HW,0.236
HX,0.0685
HY,0.0
HZ,0.0685
H[,0.0
I',0.0
"I,",0.0
I.,0.0
I/,0.0
I;,0.0
IA,0.205
IB,0.0
IC,0.205
ID,0.435
IE,0.323
IF,0.5
IG,0.0
IH,0.0
II,0.0
IJ,0.0
IK,0.0
IL,0.0
IM,0.0
IN,0.0
IO,0.0
IP,0.0
IQ,0.0685
IR,0.284
IS,0.323
IT,0.0
IU,0.0
IV,0.284
IW,0.236
IX,0.0685
IY,0.0
IZ,0.0685
I[,0.0
J',0.0
"J,",0.0
J.,0.0
J/,0.0
J;,0.0
JA,0.205
JB,0.0
JC,0.205
JD,0.435
JE,0.323
JF,0.5
JG,0.0
JH,0.0
JI,0.0
JJ,0.0
JK,0.0
JL,0.0
JM,0.0
JN,0.0
JO,0.0
JP,0.0
JQ,0.0685
JR,0.284
JS,0.323
JT,0.0
JU,0.0
JV,0.284
JW,0.236
JX,0.0685
JY,0.0
JZ,0.0685
J[,0.0
K',0.0
"K,",0.0
K.,0.0
K/,0.0
K;,0.0
KA,0.205
KB,0.0
KC,0.205
KD,0.435
KE,0.323
KF,0.5
KG,0.0
KH,0.0
KI,0.0
KJ,0.0
KK,0.0
KL,0.0
KM,0.0
KN,0.0
KO,0.0
KP,0.0
KQ,0.0685
KR,0.284
KS,0.323
KT,0.0
KU,0.0
KV,0.284
KW,0.236
KX,0.0685
KY,0.0
KZ,0.0685
K[,0.0
L',0.0
"L,",0.0
L.,0.0
L/,0.0
L;,0.0
LA,0.205
LB,0.0
LC,0.205
LD,0.435
LE,0.323
LF,0.5
LG,0.0
LH,0.0
LI,0.0
LJ,0.0
LK,0.0
LL,0.0
LM,0.0
LN,0.0
LO,0.0
LP,0.0
LQ,0.0685
LR,0.284
LS,0.323
LT,0.0
LU,0.0
LV,0.284
LW,0.236
LX,0.0685
LY,0.0
LZ,0.0685
L[,0.0
M',0.0
"M,",0.0
M.,0.0
M/,0.0
M;,0.0
MA,0.205
MB,0.0
MC,0.205
MD,0.435
ME,0.323
MF,0.5
MG,0.0
MH,0.0
MI,0.0
MJ,0.0
MK,0.0
ML,0.0
MM,0.0
MN,0.0
MO,0.0
MP,0.0
MQ,0.0685
MR,0.284
MS,0.323
MT,0.0
MU,0.0
MV,0.284
MW,0.236
MX,0.0685
MY,0.0
MZ,0.0685
M[,0.0
N',0.0
"N,",0.0
N.,0.0
N/,0.0
N;,0.0
NA,0.205
NB,0.0
NC,0.205
ND,0.435
NE,0.323
NF,0.5
NG,0.0
NH,0.0
NI,0.0
NJ,0.0
NK,0.0
NL,0.0
NM,0.0
NN,0.0
NO,0.0
NP,0.0
NQ,0.0685
NR,0.284
NS,0.323
NT,0.0
NU,0.0
NV,0.284
NW,0.236
NX,0.0685
NY,0.0
NZ,0.0685
N[,0.0
O',0.0
"O,",0.0
O.,0.0
O/,0.0
O;,0.0
OA,0.205
OB,0.0
OC,0.205
OD,0.435
OE,0.323
OF,0.5
OG,0.0
OH,0.0
OI,0.0
OJ,0.0
OK,0.0
OL,0.0
OM,0.0
ON,0.0
OO,0.0
OP,0.0
OQ,0.0685
OR,0.284
OS,0.323
OT,0.0
OU,0.0
OV,0.284
OW,0.236
OX,0.0685
OY,0.0
OZ,0.0685
O[,0.0
P',0.0
"P,",0.0
P.,0.0
P/,0.0
P;,0.0
PA,0.205
PB,0.0
PC,0.205
PD,0.435
PE,0.323
PF,0.5
PG,0.0
PH,0.0
PI,0.0
PJ,0.0
PK,0.0
PL,0.0
PM,0.0
PN,0.0
PO,0.0
PP,0.0
PQ,0.0685
PR,0.284
PS,0.323
PT,0.0
PU,0.0
PV,0.284
PW,0.236
PX,0.0685
PY,0.0
PZ,0.0685
P[,0.0
Q',0.0685
"Q,",0.0685
Q.,0.0685
Q/,0.0685
Q;,0.0685
QA,0.27349999999999997
QB,0.0685
QC,0.27349999999999997
QD,0.5035000000000001
QE,0.3915
QF,0.5685
QG,0.0685
QH,0.0685
QI,0.0685
QJ,0.0685
QK,0.0685
QL,0.0685
QM,0.0685
QN,0.0685
QO,0.0685
QP,0.0685
QQ,0.137
QR,0.3525
QS,0.3915
QT,0.0685
QU,0.0685
QV,0.3525
QW,0.3045
QX,0.137
QY,0.0685
QZ,0.137
Q[,0.0685
R',0.284
"R,",0.284
R.,0.284
R/,0.284
R;,0.284
RA,0.489
RB,0.284
RC,0.489
RD,0.719
RE,0.607
RF,0.784
RG,0.284
RH,0.284
RI,0.284
RJ,0.284
RK,0.284
RL,0.284
RM,0.284
RN,0.284
RO,0.284
RP,0.284
RQ,0.3525
RR,0.568
RS,0.607
RT,0.284
RU,0.284
RV,0.568
RW,0.52
RX,0.3525
RY,0.284
RZ,0.3525
R[,0.284
S',0.323
"S,",0.323
S.,0.323
S/,0.323
S;,0.323
SA,0.528
SB,0.323
SC,0.528
SD,0.758
SE,0.646
SF,0.823
SG,0.323
SH,0.323
SI,0.323
SJ,0.323
SK,0.323
SL,0.323
SM,0.323
SN,0.323
SO,0.323
SP,0.323
SQ,0.3915
SR,0.607
SS,0.646
ST,0.323
SU,0.323
SV,0.607
SW,0.5589999999999999
SX,0.3915
SY,0.323
SZ,0.3915
S[,0.323
T',0.0
"T,",0.0
T.,0.0
T/,0.0
T;,0.0
TA,0.205
TB,0.0
TC,0.205
TD,0.435
TE,0.323
TF,0.5
TG,0.0
TH,0.0
TI,0.0
TJ,0.0
TK,0.0
TL,0.0
TM,0.0
TN,0.0
TO,0.0
TP,0.0
TQ,0.0685
TR,0.284
TS,0.323
TT,0.0
TU,0.0
TV,0.284
TW,0.236
TX,0.0685
TY,0.0
TZ,0.0685
T[,0.0
U',0.0
"U,",0.0
U.,0.0
U/,0.0
U;,0.0
UA,0.205
UB,0.0
UC,0.205
UD,0.435
UE,0.323
UF,0.5
UG,0.0
UH,0.0
UI,0.0
UJ,0.0
UK,0.0
UL,0.0
UM,0.0
UN,0.0
UO,0.0
UP,0.0
UQ,0.0685
UR,0.284
US,0.323
UT,0.0
UU,0.0
UV,0.284
UW,0.236
UX,0.0685
UY,0.0
UZ,0.0685
U[,0.0
V',0.284
"V,",0.284
V.,0.284
V/,0.284
V;,0.284
VA,0.489
VB,0.284
VC,0.489
VD,0.719
VE,0.607
VF,0.784
VG,0.284
VH,0.284
VI,0.284
VJ,0.284
VK,0.284
VL,0.284
VM,0.284
VN,0.284
VO,0.284
VP,0.284
VQ,0.3525
VR,0.568
VS,0.607
VT,0.284
VU,0.284
VV,0.568
VW,0.52
VX,0.3525
VY,0.284
VZ,0.3525
V[,0.284
W',0.236
"W,",0.236
W.,0.236
W/,0.236
W;,0.236
WA,0.44099999999999995
WB,0.236
WC,0.44099999999999995
WD,0.671
WE,0.5589999999999999
WF,0.736
WG,0.236
WH,0.236
WI,0.236
WJ,0.236
WK,0.236
WL,0.236
WM,0.236
WN,0.236
WO,0.236
WP,0.236
WQ,0.3045
WR,0.52
WS,0.5589999999999999
WT,0.236
WU,0.236
WV,0.52
WW,0.472
WX,0.3045
WY,0.236
WZ,0.3045
W[,0.236
X',0.0685
"X,",0.0685
X.,0.0685
X/,0.0685
X;,0.0685
XA,0.27349999999999997
XB,0.0685
XC,0.27349999999999997
XD,0.5035000000000001
XE,0.3915
XF,0.5685
XG,0.0685
XH,0.0685
XI,0.0685
XJ,0.0685
XK,0.0685
XL,0.0685
XM,0.0685
XN,0.0685
XO,0.0685
XP,0.0685
XQ,0.137
XR,0.3525
XS,0.3915
XT,0.0685
XU,0.0685
XV,0.3525
XW,0.3045
XX,0.137
XY,0.0685
XZ,0.137
X[,0.0685
Y',0.0
"Y,",0.0
Y.,0.0
Y/,0.0
Y;,0.0
YA,0.205
YB,0.0
YC,0.205
YD,0.435
YE,0.323
YF,0.5
YG,0.0
YH,0.0
YI,0.0
YJ,0.0
YK,0.0
YL,0.0
YM,0.0
YN,0.0
YO,0.0
YP,0.0
YQ,0.0685
YR,0.284
YS,0.323
YT,0.0
YU,0.0
YV,0.284
YW,0.236
YX,0.0685
YY,0.0
YZ,0.0685
Y[,0.0
Z',0.0685
"Z,",0.0685
Z.,0.0685
Z/,0.0685
Z;,0.0685
ZA,0.27349999999999997
ZB,0.0685
ZC,0.27349999999999997
ZD,0.5035000000000001
ZE,0.3915
ZF,0.5685
ZG,0.0685
ZH,0.0685
ZI,0.0685
ZJ,0.0685
ZK,0.0685
ZL,0.0685
ZM,0.0685
ZN,0.0685
ZO,0.0685
ZP,0.0685
ZQ,0.137
ZR,0.3525
ZS,0.3915
ZT,0.0685
ZU,0.0685
ZV,0.3525
ZW,0.3045
ZX,0.137
ZY,0.0685
ZZ,0.137
Z[,0.0685
[',0.0
"[,",0.0
[.,0.0
[/,0.0
[;,0.0
[A,0.205
[B,0.0
[C,0.205
[D,0.435
[E,0.323
[F,0.5
[G,0.0
[H,0.0
[I,0.0
[J,0.0
[K,0.0
[L,0.0
[M,0.0
[N,0.0
[O,0.0
[P,0.0
[Q,0.0685
[R,0.284
[S,0.323
[T,0.0
[U,0.0
[V,0.284
[W,0.236
[X,0.0685
[Y,0.0
[Z,0.0685
[[,0.0
